시간,규모,진앙(km),위도,경도,위치
2016-08-20 12:18:21,3.0,7,38.38,128.09,북한 강원도 양구군 북북동쪽 32km 지역
2016-09-12 19:44:32,5.1,15,35.77,129.19,경북 경주시 남남서쪽 8.2km 지역
2016-09-12 19:48:03,3.1,16,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:10:50,3.1,18,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:32:54,5.8,15,35.76,129.19,경북 경주시 남남서쪽 8.7km 지역
2016-09-12 20:34:22,3.6,12,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:36:00,3.4,13,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:38:32,3.0,15,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:39:35,3.0,16,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:40:40,3.0,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 23:18:27,3.0,17,35.76,129.17,경북 경주시 남남서쪽 8km 지역
2016-09-12 23:52:30,3.1,18,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-13 00:37:10,3.1,19,35.78,129.21,경북 경주시 남쪽 6km 지역
2016-09-13 08:24:47,3.2,14,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 14:31:42,3.0,14,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-14 00:48:41,3.0,13,35.75,129.18,경북 경주시 남남서쪽 11km 지역
2016-09-19 20:33:58,4.5,14,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2016-09-21 11:53:54,3.5,18,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-28 16:34:30,3.1,13,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-10-02 20:53:07,3.0,18,35.75,129.19,경북 경주시 남남서쪽10km 지역
2016-10-10 22:59:10,3.3,17,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-11-06 06:26:22,3.5,12,33.76,125.07,전남 신안군 흑산면 남남서쪽 106km 해역
2016-11-13 21:52:57,3.5,10,36.36,126.63,충남 보령시 북북동쪽 4km 지역
2016-12-12 17:53:17,3.3,16,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-12-14 17:20:34,3.3,12,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2017-01-06 05:31:13,3.3,12,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2017-02-23 21:03:51,3.1,7,37.40,124.89,인천 옹진군 백령도 남남동쪽 64km 해역
2017-03-05 09:18:27,3.2,13,37.75,129.66,강원 동해시 동북동쪽 54km 해역
2017-03-31 13:46:09,3.3,17,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2017-04-15 11:31:13,3.1,13,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
2017-04-20 16:00:21,3.2,0,33.77,127.28,전남 여수시 거문도 남쪽 29km 해역
2017-05-05 23:16:21,3.0,11,35.32,127.43,전남 구례군 북북서쪽 13km 지역
2017-05-25 11:20:07,3.0,24,36.96,124.40,충남 태안군 서격렬비도 서북서쪽 109km 해역
2017-09-11 17:25:57,3.2,0,35.29,124.16,전남 신안군 흑산면 서북서쪽 139km 해역
2017-09-23 17:29:16,3.2,0,41.35,129.06,북한 함경북도 길주 북북서쪽 49km 지역
2017-11-15 14:29:31,5.4,7,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
2017-11-15 14:32:59,3.6,8,36.10,129.36,경북 포항시 북구 북쪽 7km 지역
2017-11-15 15:09:49,3.5,8,36.09,129.34,경북 포항시 북구 북북서쪽 6km 지역
2017-11-15 16:49:30,4.3,10,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
2017-11-16 09:02:42,3.6,8,36.12,129.37,경북 포항시 북구 북쪽 8km 지역
2017-11-19 23:45:47,3.5,9,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
2017-11-20 06:05:15,3.6,12,36.14,129.36,경북 포항시 북구 북쪽 11km 지역
